Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352496.2209296,416,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352497.2205932,417,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352498.2151442,418,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352499.2162018,419,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352500.222257,420,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352501.223206,421,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352502.222606,422,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352503.222449,423,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352504.2149866,424,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352505.223633,425,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352506.222412,426,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352507.2232795,427,0,0,,42.33726,-71.08966666666666,16.4,327852.00561239384,4689337.680883807,19.0,T,0
1646352508.2214549,428,0,0,,42.33726,-71.08966833333335,16.4,327851.8683056421,4689337.684258029,19.0,T,0
1646352509.2154768,429,0,0,,42.33726,-71.08966833333335,16.4,327851.8683056421,4689337.684258029,19.0,T,0
1646352510.2183979,430,0,0,,42.33726,-71.08966833333335,16.4,327851.8683056421,4689337.684258029,19.0,T,0
1646352511.22202,431,0,0,,42.33726,-71.08966833333335,16.4,327851.8683056421,4689337.684258029,19.0,T,0
1646352512.2218282,432,0,0,,42.33726,-71.08966833333335,16.4,327851.8683056421,4689337.684258029,19.0,T,0
1646352513.219489,433,0,0,,42.33726,-71.08966833333335,16.5,327851.8683056421,4689337.684258029,19.0,T,0
1646352514.2191951,434,0,0,,42.33726,-71.08966833333335,16.5,327851.8683056421,4689337.684258029,19.0,T,0
1646352515.2234879,435,0,0,,42.33726,-71.08966833333335,16.5,327851.8683056421,4689337.684258029,19.0,T,0
1646352516.215299,436,0,0,,42.33726,-71.08966833333335,16.5,327851.8683056421,4689337.684258029,19.0,T,0
1646352517.2243078,437,0,0,,42.33726,-71.08966833333335,16.5,327851.8683056421,4689337.684258029,19.0,T,0
1646352518.2196832,438,0,0,,42.33726,-71.08966833333335,16.6,327851.8683056421,4689337.684258029,19.0,T,0
1646352519.2189016,439,0,0,,42.33726,-71.08966833333335,16.6,327851.8683056421,4689337.684258029,19.0,T,0
1646352520.2234921,440,0,0,,42.33726,-71.08966833333335,16.6,327851.8683056421,4689337.684258029,19.0,T,0
1646352521.2219317,441,0,0,,42.33726,-71.08966833333335,16.6,327851.8683056421,4689337.684258029,19.0,T,0
1646352522.21976,442,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352523.222522,443,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352524.2219634,444,0,0,,42.33726,-71.08966833333335,16.6,327851.8683056421,4689337.684258029,19.0,T,0
1646352525.219027,445,0,0,,42.33726,-71.08966833333335,16.6,327851.8683056421,4689337.684258029,19.0,T,0
1646352526.2198846,446,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352527.215226,447,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352528.2196953,448,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352529.2196689,449,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352530.2197058,450,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352531.2193968,451,0,0,,42.33726,-71.08966999999998,16.6,327851.73099889455,4689337.687632252,19.0,T,0
1646352532.2232623,452,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352533.2135608,453,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352534.219629,454,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352535.2216785,455,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352536.215557,456,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352537.21586,457,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352538.2149827,458,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352539.2145286,459,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352540.2184362,460,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352541.2230904,461,0,0,,42.33726,-71.08966999999998,16.7,327851.73099889455,4689337.687632252,19.0,T,0
1646352542.2153964,462,0,0,,42.33726166666666,-71.08966999999998,16.7,327851.73554688686,4689337.872702893,19.0,T,0
1646352543.2194355,463,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352544.21887,464,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352545.2099392,465,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352546.2152371,466,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352547.2113256,467,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352548.2183058,468,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352549.2187335,469,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352550.2182777,470,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352551.2199926,471,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352552.2141643,472,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352553.2193224,473,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352554.219071,474,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352555.2187212,475,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352556.2164876,476,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352557.208739,477,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352558.2155073,478,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352559.2197998,479,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352560.223081,480,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352561.2191787,481,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352562.2178628,482,0,0,,42.33726166666666,-71.08967166666667,16.6,327851.59824013873,4689337.876077119,19.0,T,0
1646352563.2121816,483,0,0,,42.33726166666666,-71.08967166666667,16.6,327851.59824013873,4689337.876077119,19.0,T,0
1646352564.2121642,484,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352565.2177112,485,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352566.2182667,486,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352567.217294,487,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352568.2179728,488,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352569.217082,489,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352570.2182548,490,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352571.2120767,491,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352572.2178068,492,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352573.2183216,493,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352574.2105947,494,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352575.2136602,495,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
